 AspectRatio Duration  Character
   2.9412    0.3850	V 
    3.2258    0.3480	V 
    7.6923    2.7590	J 
    1.7551    1.8320	M 
    2.5667    0.8790	V 
    3.7667    0.7500	J 
   13.2000    0.4970	J 
    1.2963    0.6620	M 
    1.6923    0.7240	M 
    2.2143    0.3060	V 
    3.6842    0.3210	V 
    6.2174    0.4510	J 
    3.6071    0.5620	J 
    1.1852    0.5300	M 
    1.0536    0.5280	M 
    3.5294    0.4210	V 
    2.7600    0.3130	V 
    2.7632    0.5050	J 
    4.2593    0.4560	J 
    1.6000    0.4920	M 
    1.5312    0.5600	M 
    2.0192    0.3860	V 
    2.4444    0.3930	V 
    4.1667    0.9260	J 
    1.5476    0.7240	M 
    3.1739    0.4460	V 
    8.0882    1.0190	J 
    1.6709    1.2770	M 
    1.8161    0.5870	V 
    5.5000    1.3870	J 
    1.7500    0.6420	M 
    2.4615    0.4080	V 
    9.0000    2.3630	J 
    2.1591    2.8710	M 
    3.7500    1.3040	V 
    8.2308    2.6600	J 
    2.0000    2.5320	M 
    4.2500    1.1460	V 
    5.0000    1.6600	J 
    1.0745    1.5110	M 
    2.2174    1.0280	V 
    5.4444    1.3370	J 
    1.5429    0.9550	M 
    2.1290    1.0360	V 
    6.5357    0.4370	J 
    1.1059    0.5580	M 
    2.2500    0.2570	V 
    4.9706    0.7660	J 
    1.7636    0.9210	M 
    3.0278    0.5010	V 
    4.7407    0.5660	J 
    0.7846    0.6230	M 
    2.0250    0.3510	V 
    4.6071    3.1040	J 
    0.7187    1.0250	M 
    2.1944    0.6770	V 
    4.3429    0.4390	J 
    7.2593    0.4330	J 
    7.3636    0.3690	J 
    6.5806    0.4080	J 
    1.6842    0.6070	M 
    1.7818    0.5990	M 
    1.8261    0.6120	M 
    1.8302    0.5910	M 
    3.0645    0.3070	V 
    3.4615    0.2570	V 
    2.7742    0.2540	V 
    2.8788    0.2970	V 
    3.8621    0.8850	J 
    1.1731    1.9950	J 
    1.7143    1.2030	M 
    1.5417    0.7100	M 
    2.5484    0.5560	V 
    2.4000    0.4230	V 
    6.0909    0.3630	J 
    8.0556    0.3350	J 
   10.0667    0.3290	J 
    1.4545    0.4460	M 
    1.4600    0.4180	M 
    1.3696    0.4190	M 
    2.4848    0.2560	V 
    2.1176    0.2530	V 
    1.9062    0.2270	V 
    9.1765    0.5270	J 
    6.4815    0.4440	J 
   12.4667    0.4050	J 
    1.0244    0.4790	M 
    1.3659    0.4640	M 
    1.2407    0.6860	M 
    4.1905    0.2750	V 
    3.3333    0.2240	V 
    3.8421    0.2360	V 
    2.1667    0.4840	J 
    0.9070    0.5190	M 
    1.8333    0.3330	V 
   10.7059    0.4570	J 
    7.4231    0.5080	J 
    1.4043    0.6600	M 
    2.3265    0.5700	M 
    2.8000    0.4590	V 
    2.2564    0.2940	V 
    1.8293    0.7550	J 
    3.2368    0.6330	J 
    1.0167    1.4900	M 
    1.2308    0.6060	M 
    1.8478    0.4290	V 
    1.8000    0.3490	V 
    6.3913    0.4430	J 
    6.2500    0.4910	J 
    1.4800    0.5660	M 
    1.1957    0.5970	M 
    2.3030    0.3290	V 
    2.4242    0.3850	V 
    3.7647    0.5090	J 
    3.7273    0.6140	J 
    1.2308    0.5690	M 
    1.2857    0.5190	M 
    2.5357    0.2790	V 
    2.1860    0.2780	V 
    5.5417    0.4990	J 
    0.7761    0.5970	M 
    2.1707    0.3050	V 
    8.2727    0.5230	J 
   10.0000    0.5650	J 
    1.6047    0.4930	M 
    2.0556    0.5060	M 
    2.8333    0.2670	V 
    2.5357    0.2790	V 
    4.7037    0.4940	J 
    4.8958    0.4120	J 
    1.6935    0.6370	M 
    1.7547    0.5550	M 
    1.9455    0.2870	V 
    1.9500    0.2940	V 
    3.8036    0.9160	J 
    6.0513    0.8100	J 
    1.9375    0.6940	M 
    1.6333    0.6690	M 
    4.0682    0.4180	V 
    3.0227    0.3570	V 
    3.3091    0.9760	J 
    4.3250    0.3810	J 
    0.9857    0.9660	M 
    1.0577    0.5740	M 
    1.4737    0.5620	V 
    2.6207    0.3330	V 
    9.1579    0.3320	J 
    5.5455    0.3840	J 
    1.5385    0.4310	M 
    1.5000    0.4000	M 
    2.3182    0.2060	V 
    2.7250    0.1730	V 
    6.1000    0.4510	J 
    1.6271    0.6030	M 
    2.0769    0.2970	V 
   10.3846    0.5890	J 
    6.2500    0.6910	J 
    1.2000    0.6820	M 
    0.9318    0.7380	M 
    3.0000    0.3160	V 
    2.7917    0.4200	V 
    5.9000    0.4100	J 
   11.0625    0.3440	J 
    1.1194    0.5040	M 
    1.3607    0.5220	M 
    3.1875    0.2600	V 
    3.1562    0.2330	V 
    7.3478    0.8220	J 
    7.8000    0.5560	J 
    1.2727    0.6340	M 
    1.1429    0.5780	M 
    3.5833    0.3740	V 
    3.7619    0.2870	V 
    4.9268    0.7780	J 
    6.2143    0.6480	J 
    0.8676    0.6820	M 
    0.9221    0.6640	M 
    1.4000    0.2660	V 
    1.9667    0.2460	V 
    3.4286    0.2760	J 
    4.6667    0.5690	J 
    2.2414    0.5440	M 
    2.2727    0.5790	M 
    2.9583    0.3460	V 
    2.7143    0.3070	V 
    5.8421    0.5480	J 
    5.2857    0.5140	J 
    1.1111    0.6630	M 
    1.1538    0.6670	M 
    2.1923    0.3380	V 
    1.5667    0.3290	V 
   12.4000    0.6460	J 
    7.2222    0.6250	J 
    1.5484    0.5180	M 
    1.1667    0.5330	M 
    1.8571    0.2550	V
    1.9429    0.2690	V
    5.3478    0.4790	J
    5.7895    0.4250	J
    2.0000    0.4100	M
    1.5581    0.9380	M
    2.3462    0.3000	V
    2.5217    0.2610	V
    3.1429    0.6180	J
    3.7500    0.7910	J
    2.1053    0.9080	M
    1.6875    0.8940	M
    1.8642    0.3560	V
    2.1343    0.3740	V
    5.9608    0.8880	J
    4.5690    0.6360	J
    2.1571    0.7530	M
    2.0000    0.6870	M
    2.7000    0.4760	V
    2.4286    0.3250	V
    7.7857    0.4350	J
   11.4286    0.4240	J
    1.0725    0.3860	M
    1.1029    0.3810	M
    2.6939    0.2830	V
    2.3200    0.3250	V
    5.5172    0.8040	J
    4.4444    0.6870	J
