           Time                    X                      Y               P  
                    0     -0.280252982417635    -0.0878790643154117    0.013
    0.0161290322580645     -0.280252982417635    -0.0723709941421039    0.052
    0.0161290322580645     -0.280252982417635    -0.0723709941421039    0.052
    0.0741935483870968     -0.303515087677596    -0.0103387134488725    0.235
     0.129032258064516     -0.326777192937559     0.0516935672443589    0.411
     0.190322580645161     -0.326777192937559     0.0361854970710511    0.601
     0.235483870967742     -0.303515087677596    -0.0258467836221803    0.745
     0.290322580645161     -0.233728771897712     -0.180927485355259    0.929
     0.338709677419355     -0.210466666637749     -0.351516257261644        1
     0.393548387096774     -0.140680350857865     -0.506596958994723        1
     0.448387096774194    -0.0941561403379411      -0.59964538003457        1
     0.506451612903226    -0.0476319298180176     -0.630661520381186        1
     0.551612903225806     0.0221543859618677     -0.537613099341339        1
     0.609677419354839      0.115202807001715     -0.351516257261644        1
     0.667741935483871      0.231513333301524    -0.0103387134488725        1
     0.716129032258065      0.347823859601333      0.361854970710516        1
     0.770967741935484      0.417610175381218      0.578967953136826        1
      0.82258064516129       0.44087228064118      0.672016374176673        1
      0.87741935483871       0.44087228064118      0.656508304003365    0.938
     0.932258064516129      0.417610175381218      0.578967953136826    0.519
     0.987096774193548      0.394348070121256      0.501427602270287     0.03
                     1                    NaN                    NaN      NaN
