           Time                    X                       Y               P  
                     0      0.0113264549966555     0.0969041149713903    0.028
     0.021551724137931      0.0113264549966555      0.120815519964331    0.157
     0.021551724137931      0.0113264549966555      0.120815519964331    0.157
    0.0538793103448276    -0.00660709874805058      0.168638329950212    0.411
    0.0905172413793103     -0.0245406524927553      0.192549734943152    0.495
     0.127155172413793     -0.0962748674715769      0.168638329950212    0.542
     0.161637931034483      -0.168009082450398     0.0969041149713903    0.628
     0.200431034482759      -0.257676851173925    -0.0465643149862528    0.815
     0.232758620689655      -0.311477512408042     -0.201988447440366    0.913
                0.3125      -0.329411066152746     -0.285678364915658    0.944
     0.344827586206897      -0.275610404918631     -0.560659522334474    0.972
     0.381465517241379      -0.203876189939809     -0.536748117341533    0.942
     0.558189655172414       0.244462653677826      0.587087917326671    0.903
     0.594827586206897       0.244462653677826      0.706644942291374    0.944
     0.758620689655172       0.100994223720183      0.156682627453742        1
     0.771551724137931       0.100994223720183     0.0729927099784498        1
     0.810344827586207       0.136861331209593     -0.142209934958015        1
      0.90301724137931       0.352063976146057     -0.333501174901539        1
     0.997844827586207       0.459665298614291      -0.38132398488742    0.081
                     1                     NaN                    NaN      NaN
