           Time                    X                      Y               P  
                      0       -0.0538324114058      0.714774795888114    0.028
    0.0405405405405405       -0.0538324114058      0.764121173010097    0.317
    0.0405405405405405       -0.0538324114058      0.764121173010097    0.317
    0.0945945945945946       -0.0538324114058      0.731223588262108    0.745
     0.148648648648649       -0.0538324114058       0.58318445689616        1
     0.205405405405405       -0.0538324114058       0.30355498653826        1
     0.210810810810811    -0.0785055999667905      0.254208609416277        1
     0.254054054054054    -0.0785055999667905    -0.0254208609416251        1
     0.318918918918919     -0.103178788527783      -0.35439670842151        1
     0.372972972972973     -0.103178788527783     -0.387294293169499        1
     0.427027027027027       -0.0538324114058     -0.272152746551539        1
     0.481081081081081     0.0448603428381655    -0.0418696533156194        1
     0.545945945945946      0.217572662765105        0.1884134399203        1
                   0.6      0.340938605570062      0.237759817042283        1
     0.656756756756757      0.414958171253036     0.0732718933023403        1
     0.713513513513514      0.365611794131053     -0.189908784681568        1
     0.764864864864865      0.242245851326096     -0.436640670291481        1
     0.824324324324324     0.0448603428381655     -0.650474971153407        1
     0.878378378378378     -0.152525165649766     -0.683372555901395        1
     0.935135135135135     -0.251217919893731     -0.601128594031424    0.784
     0.986486486486487     -0.275891108454721     -0.502435839787458    0.075
     0.997297297297297     -0.251217919893731      -0.46953825503947    0.022
                     1                    NaN                    NaN      NaN
